Id,MeasurementTime,SensorName,SensorDescription,SensorDetails,Type,Units,CurrentValue,Lat,Long
13435884,2020-06-10T21:00:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,33.625012238896,-31.64478,152.82822
13436164,2020-06-10T22:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.6111,-31.64478,152.82822
13436165,2020-06-10T22:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.451734188,-31.64478,152.82822
13436166,2020-06-10T22:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/2,conductivity,Siemens per meter,4.40886,-31.64478,152.82822
13436167,2020-06-10T22:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/3,pressure,decibars,0.443,-31.64478,152.82822
13436168,2020-06-10T22:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,33.119138019891004,-31.64478,152.82822
13436169,2020-06-10T22:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.3439,-31.64478,152.82822
13436170,2020-06-10T22:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.5996,-31.64478,152.82822
13436171,2020-06-10T22:10:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.7363,-31.64478,152.82822
13436172,2020-06-10T22:00:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.7898,-31.64478,152.82822
13436173,2020-06-10T22:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,33.061266411123,-31.64478,152.82822
13436174,2020-06-10T22:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.454793336,-31.64478,152.82822
13436175,2020-06-10T22:10:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,33.409500779161,-31.64478,152.82822
13436176,2020-06-10T22:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.460911632,-31.64478,152.82822
13436177,2020-06-10T22:00:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,33.504546858839,-31.64478,152.82822
13436178,2020-06-10T22:10:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.47416794,-31.64478,152.82822
13436179,2020-06-10T22:00:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.482325668,-31.64478,152.82822
13436433,2020-06-10T23:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.8567,-31.64478,152.82822
13436434,2020-06-10T23:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.491503112,-31.64478,152.82822
13436435,2020-06-10T23:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/2,conductivity,Siemens per meter,4.45474,-31.64478,152.82822
13436436,2020-06-10T23:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.548459655651,-31.64478,152.82822
13436437,2020-06-10T23:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.5388,-31.64478,152.82822
13436438,2020-06-10T23:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.471108792,-31.64478,152.82822
13436439,2020-06-10T23:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,33.331836276422,-31.64478,152.82822
13436440,2020-06-10T23:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.6501,-31.64478,152.82822
13436441,2020-06-10T23:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.461931348,-31.64478,152.82822
13436442,2020-06-10T23:00:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.5969,-31.64478,152.82822
13436443,2020-06-10T23:10:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,33.352031056564996,-31.64478,152.82822
13436444,2020-06-10T23:00:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.452753904,-31.64478,152.82822
13436445,2020-06-10T23:00:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.852386073226,-31.64478,152.82822
13436446,2020-06-10T23:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/3,pressure,decibars,0.482,-31.64478,152.82822
13436447,2020-06-10T23:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,33.306115561414,-31.64478,152.82822
13436752,2020-06-11T00:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,19.0544,-31.64478,152.82822
13436753,2020-06-11T00:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.57613954,-31.64478,152.82822
13436754,2020-06-11T00:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/2,conductivity,Siemens per meter,4.48374,-31.64478,152.82822
13436755,2020-06-11T00:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,33.389105055932,-31.64478,152.82822
13436756,2020-06-11T00:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,33.483045948637,-31.64478,152.82822
13436757,2020-06-11T00:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/3,pressure,decibars,0.565,-31.64478,152.82822
13436758,2020-06-11T00:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,33.480031802347,-31.64478,152.82822
13436759,2020-06-11T00:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,33.010427810365,-31.64478,152.82822
